"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage"
"51191","0","10","70","0","2013","1","","Washington County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1539,20233,20390,20621,189880830,98969771,3275816,715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"51191","0","10","70","0","2013","2","","Washington County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1541,20745,20839,20882,186279825,30603457,827886,688,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"51191","0","10","70","0","2013","3","","Washington County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1557,20554,20556,20554,182374174,16556536,445160,683,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"51191","0","10","70","0","2013","4","","Washington County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1544,20436,20472,20422,185913561,13380265,376360,700,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"51191","1","10","71","0","2013","1","","Washington County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,115,114,118,1786353,0,0,1188,"",1.51,0.27,0.26,0.27,0.31,0.00,0.00,1.16
"51191","1","10","71","0","2013","2","","Washington County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,118,112,119,1688113,0,0,1116,"",1.53,0.27,0.26,0.28,0.29,0.00,0.00,1.07
"51191","1","10","71","0","2013","3","","Washington County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,116,118,117,1885452,0,0,1240,"",1.53,0.27,0.28,0.28,0.32,0.00,0.00,1.16
"51191","1","10","71","0","2013","4","","Washington County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,114,119,119,1597373,0,0,1047,"",1.56,0.28,0.29,0.29,0.32,0.00,0.00,1.11
"51191","1","102","72","0","2013","1","","Washington County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,115,114,118,1786353,0,0,1188,"",1.52,0.27,0.27,0.28,0.31,0.00,0.00,1.16
"51191","1","102","72","0","2013","2","","Washington County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,118,112,119,1688113,0,0,1116,"",1.53,0.28,0.26,0.28,0.29,0.00,0.00,1.07
"51191","1","102","72","0","2013","3","","Washington County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,116,118,117,1885452,0,0,1240,"",1.53,0.28,0.28,0.28,0.33,0.00,0.00,1.16
"51191","1","102","72","0","2013","4","","Washington County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,114,119,119,1597373,0,0,1047,"",1.56,0.28,0.29,0.29,0.32,0.00,0.00,1.11
"51191","1","1021","73","0","2013","1","","Washington County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,60,60,59,707427,0,0,912,"",1.16,0.57,0.57,0.57,0.60,0.00,0.00,1.05
"51191","1","1021","73","0","2013","2","","Washington County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,59,58,62,621463,0,0,801,"",1.17,0.55,0.56,0.60,0.60,0.00,0.00,1.05
